"","VALUE","Freq","CLASSNAMES","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"1",11,1595498,"Open Water",0,0,255,0,0,1,354830,1.2
"2",13,29988,"Developed-Upland Deciduous Forest",64,61,168,0.25098,0.239216,0.658824,6669,0
"3",14,14326,"Developed-Upland Evergreen Forest",68,79,137,0.266667,0.309804,0.537255,3186,0
"4",15,1935,"Developed-Upland Mixed Forest",102,119,205,0.4,0.466667,0.803922,430,0
"5",16,118286,"Developed-Upland Herbaceous",122,142,245,0.478431,0.556863,0.960784,26306,0.1
"6",17,535116,"Developed-Upland Shrubland",158,170,215,0.619608,0.666667,0.843137,119007,0.4
"7",22,125208,"Developed - Low Intensity",255,122,143,1,0.478431,0.560784,27846,0.1
"8",23,71438,"Developed - Medium Intensity",253,44,79,0.992157,0.172549,0.309804,15887,0.1
"9",24,23695,"Developed - High Intensity",173,0,28,0.678431,0,0.109804,5270,0
"10",25,922469,"Developed-Roads",1,1,1,0.003921,0.003921,0.003921,205152,0.7
"11",31,1461560,"Barren",191,191,191,0.74902,0.74902,0.74902,325043,1.1
"12",32,206787,"Quarries-Strip Mines-Gravel Pits-Well and Wind Pads",230,232,250,0.901961,0.909804,0.980392,45988,0.2
"13",61,1,"NASS-Vineyard",168,0,132,0.658824,0,0.517647,0,0
"14",63,273785,"NASS-Row Crop-Close Grown Crop",255,245,140,1,0.960784,0.54902,60888,0.2
"15",64,348931,"NASS-Row Crop",250,255,119,0.980392,1,0.466667,77600,0.3
"16",65,1469757,"NASS-Close Grown Crop",255,237,119,1,0.929412,0.466667,326866,1.1
"17",68,68730,"NASS-Wheat",250,227,163,0.980392,0.890196,0.639216,15285,0.1
"18",100,3658394,"Sparse Vegetation Canopy",122,127,117,0.478431,0.498039,0.458824,813607,2.7
"19",101,1285795,"Tree Height = 1 meter",204,255,153,0.8,1,0.6,285954,1
"20",102,831687,"Tree Height = 2 meters",199,250,147,0.780392,0.980392,0.576471,184963,0.6
"21",103,877085,"Tree Height = 3 meters",192,245,142,0.752941,0.960784,0.556863,195059,0.7
"22",104,683116,"Tree Height = 4 meters",188,242,138,0.737255,0.94902,0.541176,151921,0.5
"23",105,591028,"Tree Height = 5 meters",181,237,133,0.709804,0.929412,0.521569,131441,0.4
"24",106,473675,"Tree Height = 6 meters",178,235,129,0.698039,0.921569,0.505882,105343,0.4
"25",107,337515,"Tree Height = 7 meters",171,230,124,0.670588,0.901961,0.486275,75062,0.3
"26",108,298314,"Tree Height = 8 meters",168,227,120,0.658824,0.890196,0.470588,66343,0.2
"27",109,213038,"Tree Height = 9 meters",160,222,113,0.627451,0.870588,0.443137,47379,0.2
"28",110,211474,"Tree Height = 10 meters",155,219,110,0.607843,0.858824,0.431373,47031,0.2
"29",111,199149,"Tree Height = 11 meters",150,214,105,0.588235,0.839216,0.411765,44290,0.1
"30",112,199177,"Tree Height = 12 meters",146,212,102,0.572549,0.831373,0.4,44296,0.1
"31",113,210692,"Tree Height = 13 meters",141,207,97,0.552941,0.811765,0.380392,46857,0.2
"32",114,184712,"Tree Height = 14 meters",136,204,94,0.533333,0.8,0.368627,41079,0.1
"33",115,170191,"Tree Height = 15 meters",131,199,90,0.513725,0.780392,0.352941,37850,0.1
"34",116,157923,"Tree Height = 16 meters",127,196,86,0.498039,0.768627,0.337255,35121,0.1
"35",117,122531,"Tree Height = 17 meters",119,191,80,0.466667,0.74902,0.313725,27250,0.1
"36",118,151441,"Tree Height = 18 meters",116,189,77,0.454902,0.741176,0.301961,33680,0.1
"37",119,59883,"Tree Height = 19 meters",110,184,73,0.431373,0.721569,0.286275,13318,0
"38",120,37499,"Tree Height = 20 meters",107,181,71,0.419608,0.709804,0.278431,8340,0
"39",121,9496,"Tree Height = 21 meters",101,176,67,0.396078,0.690196,0.262745,2112,0
"40",122,5619,"Tree Height = 22 meters",99,173,64,0.388235,0.678431,0.25098,1250,0
"41",123,2734,"Tree Height = 23 meters",93,168,61,0.364706,0.658824,0.239216,608,0
"42",124,2002,"Tree Height = 24 meters",87,166,56,0.341176,0.65098,0.219608,445,0
"43",125,4417,"Tree Height = 25 meters",84,161,53,0.329412,0.631373,0.207843,982,0
"44",138,20,"Tree Height = 38 meters",36,112,21,0.141176,0.439216,0.082353,4,0
"45",201,177167,"Shrub Height = 0.1 meter",212,178,125,0.831373,0.698039,0.490196,39401,0.1
"46",202,14321140,"Shrub Height = 0.2 meter",212,174,121,0.831373,0.682353,0.47451,3184945,10.7
"47",203,13143545,"Shrub Height = 0.3 meter",209,166,117,0.819608,0.65098,0.458824,2923054,9.9
"48",204,9927180,"Shrub Height = 0.4 meter",209,161,113,0.819608,0.631373,0.443137,2207752,7.4
"49",205,4848265,"Shrub Height = 0.5 meter",207,155,109,0.811765,0.607843,0.427451,1078228,3.6
"50",206,3164861,"Shrub Height = 0.6 meter",207,149,105,0.811765,0.584314,0.411765,703848,2.4
"51",207,15854550,"Shrub Height = 0.7 meter",204,145,102,0.8,0.568627,0.4,3525967,11.9
"52",208,38749176,"Shrub Height = 0.8 meter",201,137,97,0.788235,0.537255,0.380392,8617609,29
"53",209,5962797,"Shrub Height = 0.9 meter",201,134,95,0.788235,0.52549,0.372549,1326094,4.5
"54",210,336697,"Shrub Height = 1 meter",199,126,90,0.780392,0.494118,0.352941,74880,0.3
"55",211,5313486,"Shrub Height = 1.1 meters",196,121,86,0.768627,0.47451,0.337255,1181691,4
"56",212,2060937,"Shrub Height = 1.2 meters",196,115,82,0.768627,0.45098,0.321569,458341,1.5
"57",213,1011549,"Shrub Height = 1.3 meters",194,110,79,0.760784,0.431373,0.309804,224963,0.8
"58",214,77199,"Shrub Height = 1.4 meters",191,105,77,0.74902,0.411765,0.301961,17169,0.1
"59",215,49334,"Shrub Height = 1.5 meters",191,100,73,0.74902,0.392157,0.286275,10972,0
"60",216,62432,"Shrub Height = 1.6 meters",189,94,70,0.741176,0.368627,0.27451,13885,0
"61",217,24644,"Shrub Height = 1.7 meters",186,89,67,0.729412,0.34902,0.262745,5481,0
"62",218,25397,"Shrub Height = 1.8 meters",184,83,62,0.721569,0.32549,0.243137,5648,0
"63",219,17669,"Shrub Height = 1.9 meters",184,79,61,0.721569,0.309804,0.239216,3929,0
"64",220,19743,"Shrub Height = 2.0 meters",181,72,58,0.709804,0.282353,0.227451,4391,0
"65",221,15093,"Shrub Height = 2.1 meters",179,68,55,0.701961,0.266667,0.215686,3357,0
"66",222,8311,"Shrub Height = 2.2 meters",176,61,51,0.690196,0.239216,0.2,1848,0
"67",223,4710,"Shrub Height = 2.3 meters",173,57,49,0.678431,0.223529,0.192157,1047,0
"68",224,3927,"Shrub Height = 2.4 meters",173,51,47,0.678431,0.2,0.184314,873,0
"69",225,1312,"Shrub Height = 2.5 meters",171,47,44,0.670588,0.184314,0.172549,292,0
"70",226,1399,"Shrub Height = 2.6 meters",168,39,41,0.658824,0.152941,0.160784,311,0
"71",227,278,"Shrub Height = 2.7 meters",166,33,40,0.65098,0.129412,0.156863,62,0
"72",228,1891,"Shrub Height = 2.8 meters",163,26,38,0.639216,0.101961,0.14902,421,0
"73",229,29,"Shrub Height = 2.9 meters",161,18,34,0.631373,0.070588,0.133333,6,0
"74",230,709,"Shrub Height >= 3.0 meters",158,0,32,0.619608,0,0.12549,158,0
